id_number,org_size_1_99,org_size_100_499,org_size_500_999,org_size_1000_4999,org_size_greaterthan_5000,Has_Website,Number_of_Vehicles__c,Segment_E,SegmentE3,SegmentA1,SegmentA2,US_Country,CA_Country,Industry,billingstatecode,total_engagements,first_engagement_date,last_engagement_date,engagement_length_days,engagement_count_lag_1,engagement_count_lag_2,engagement_count_lag_5,engagement_count_lag_7,engagement_count_rolling_avg_7,rolling_std_7,rolling_median_7,weekly_engagement_rate,cumulative_engagement_count,days_since_last_engagement,prev_engagement_type_0,prev_engagement_type_Campaign - Mailer,prev_engagement_type_Campaign - Other,prev_engagement_type_Campaign - Referral Program,prev_engagement_type_Campaign - Webinar,prev_engagement_type_Event - Roadshow,prev_engagement_type_Field Event,prev_engagement_type_Field Marketing,prev_engagement_type_GC,prev_engagement_type_Inbound Leads,prev_engagement_type_Partners,prev_engagement_type_SB,prev_engagement_type_webpage visit from ads,prev_engagement_type_webpage visits,avg_time_between_engagements,most_common_engagement_type_Campaign - Mailer,most_common_engagement_type_Campaign - Other,most_common_engagement_type_Campaign - Referral Program,most_common_engagement_type_Campaign - Webinar,most_common_engagement_type_Field Event,most_common_engagement_type_GC,most_common_engagement_type_Inbound Leads,most_common_engagement_type_Partners,most_common_engagement_type_webpage visit from ads,most_common_engagement_type_webpage visits,D&B_Score,target_met
2055,0,0,0,0,0,1,3.0,0,0,0,0,1,0,WholesaleTrade,NY,5,2021-06-03,2023-01-20,596,0.8,0.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,119.2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,149.0,0,0,0,0,0,0,0,0,1,0,HIGH,0
2127,0,0,0,0,0,1,40.0,0,0,0,1,1,0,WholesaleTrade,NY,13,2022-11-09,2023-11-30,386,0.9230769230769231,0.8461538461538461,0.6153846153846154,0.46153846153846156,0.5384615384615384,0.0,0.5384615384615384,0.5384615384615384,7.0,29.692307692307693,1,0,0,0,0,0,0,0,0,1,0,0,1,0,32.166666666666664,0,0,0,0,0,0,0,0,1,0,HIGH,0
2131,0,0,0,0,0,1,200.0,0,0,0,1,1,0,WholesaleTrade,NY,21,2021-05-03,2023-09-19,869,0.9523809523809523,0.9047619047619048,0.7619047619047619,0.6666666666666666,0.7142857142857143,0.0,0.7142857142857143,0.7142857142857143,11.0,41.38095238095238,1,1,0,0,0,0,1,0,1,1,0,0,1,0,43.45,0,0,0,0,0,0,0,0,1,0,HIGH,0
2226,0,0,0,0,0,1,170.0,0,1,0,0,1,0,WholesaleTrade,OH,19,2022-10-13,2023-09-05,327,0.9473684210526315,0.8947368421052632,0.7368421052631579,0.631578947368421,0.6842105263157895,0.0,0.6842105263157895,0.6842105263157895,10.0,17.210526315789473,1,1,1,0,0,0,0,0,0,0,0,0,1,1,18.166666666666668,0,0,0,0,0,0,0,0,1,0,HIGH,0
2601,1,0,0,0,0,0,35.0,0,0,0,1,1,0,WholesaleTrade,TN,1,2022-01-27,2022-01-27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,102.48327576368627,0,0,0,0,0,0,1,0,0,0,HIGH,0
2788,1,0,0,0,0,1,35.0,0,0,0,1,1,0,WholesaleTrade,TX,2,2023-12-30,2024-03-06,67,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,33.5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,67.0,0,0,0,0,0,0,1,0,0,0,HIGH,0
2796,0,0,0,1,0,1,158.0,1,0,0,0,1,0,WholesaleTrade,TX,402,2021-04-30,2024-03-05,1040,0.9975124378109452,0.9950248756218906,0.9875621890547264,0.9825870646766169,0.9850746268656716,0.0,0.9850746268656716,0.9850746268656716,201.5,2.5870646766169156,1,1,0,0,0,0,0,0,0,0,0,0,1,1,2.5935162094763093,0,0,0,0,0,0,0,0,1,0,HIGH,0
2797,0,0,0,0,0,1,300.0,0,1,0,0,1,0,WholesaleTrade,TX,2,2022-12-13,2023-02-21,70,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,35.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,70.0,0,0,0,0,0,0,0,0,1,0,HIGH,0
2873,0,0,0,0,0,1,36.0,0,0,0,1,1,0,WholesaleTrade,VA,1,2021-10-20,2021-10-20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,102.48327576368627,0,0,0,0,0,0,1,0,0,0,HIGH,0
2998,1,0,0,0,0,1,28.0,0,0,0,0,1,0,WholesaleTrade,WI,1,2024-02-01,2024-02-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,102.48327576368627,0,0,0,0,0,0,1,0,0,0,HIGH,0
3010,0,0,0,0,0,1,35.0,0,0,0,1,1,0,WholesaleTrade,WI,5,2023-07-03,2023-12-06,156,0.8,0.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,31.2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,39.0,0,0,0,0,0,0,0,0,0,1,HIGH,0
174,0,0,0,0,0,1,66.0,0,0,0,1,1,0,Utilities,UT,9,2021-05-11,2023-10-23,895,0.8888888888888888,0.7777777777777778,0.4444444444444444,0.2222222222222222,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,5.0,99.44444444444444,1,0,0,0,0,0,0,0,1,0,0,0,1,0,111.875,0,0,0,0,0,0,0,0,1,0,HIGH,1
178,0,0,0,0,0,1,90.0,1,0,0,0,1,0,Utilities,TX,3,2021-07-23,2023-08-14,752,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,2.0,250.66666666666666,1,0,0,0,0,0,0,0,0,0,0,0,1,0,376.0,0,0,0,0,0,0,0,0,1,0,HIGH,1
269,1,0,0,0,0,1,38.0,0,0,0,1,0,1,Utilities,ON,17,2021-12-02,2023-08-17,623,0.9411764705882353,0.8823529411764706,0.7058823529411765,0.5882352941176471,0.6470588235294118,0.0,0.6470588235294118,0.6470588235294118,9.0,36.64705882352941,1,0,0,0,0,0,0,0,0,1,0,0,1,1,38.9375,0,0,0,0,0,0,0,0,1,0,HIGH,1
293,1,0,0,0,0,1,1.2412536235234216e+16,0,1,0,0,1,0,Utilities,SC,796,2021-04-09,2024-03-06,1062,0.9987437185929648,0.9974874371859297,0.9937185929648241,0.9912060301507538,0.992462311557789,0.0,0.992462311557789,0.992462311557789,398.5,1.3341708542713568,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1.3358490566037735,0,0,0,0,0,0,0,0,0,1,HIGH,1
658,1,0,0,0,0,0,5.0,0,0,0,0,1,0,Utilities,CA,1,2021-06-16,2021-06-16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,102.48327576368627,0,0,0,0,0,0,1,0,0,0,HIGH,0
1012,1,0,0,0,0,1,6.0,0,0,0,0,1,0,Utilities,FL,1,2021-11-09,2021-11-09,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,102.48327576368627,0,0,0,0,0,0,1,0,0,0,HIGH,0
1218,0,0,0,0,0,1,14585824013270.0,0,0,0,1,1,0,Utilities,IL,4,2022-06-16,2023-06-19,368,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.5,92.0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,122.66666666666667,0,0,0,0,0,0,0,0,1,0,HIGH,0
1717,1,0,0,0,0,1,20.0,0,0,0,0,1,0,Utilities,MN,2,2022-05-30,2022-06-24,25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,12.5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,25.0,0,0,0,0,0,0,0,0,1,0,HIGH,0
1733,0,0,0,0,0,1,1129.0,0,0,0,1,1,0,Utilities,MN,1,2023-09-27,2023-09-27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,102.48327576368627,0,0,0,0,0,0,1,0,0,0,HIGH,0
1779,1,0,0,0,0,1,50.0,0,0,0,1,1,0,Utilities,MO,7,2021-08-06,2024-01-08,885,0.8571428571428571,0.7142857142857143,0.2857142857142857,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,4.0,126.42857142857143,1,0,0,1,0,0,0,0,1,0,0,0,1,0,147.5,0,0,0,0,0,0,0,0,1,0,HIGH,0
1941,1,0,0,0,0,1,4.0,0,0,1,0,1,0,Utilities,NJ,11,2021-06-09,2023-04-07,667,0.9090909090909091,0.8181818181818182,0.5454545454545454,0.36363636363636365,0.45454545454545453,0.0,0.45454545454545453,0.45454545454545453,6.0,60.63636363636363,1,0,0,0,0,0,0,0,0,1,0,0,1,0,66.7,0,0,0,0,0,0,0,0,1,0,HIGH,0
2029,0,0,0,0,1,1,500.0,1,0,0,0,0,1,Utilities,NS,11,2023-03-26,2023-11-16,235,0.9090909090909091,0.8181818181818182,0.5454545454545454,0.36363636363636365,0.45454545454545453,0.0,0.45454545454545453,0.45454545454545453,6.0,21.363636363636363,1,0,0,0,0,0,0,0,0,0,0,0,1,0,23.5,0,0,0,0,0,0,0,0,1,0,HIGH,0
2253,1,0,0,0,0,1,6.0,0,0,0,0,1,0,Utilities,OK,1,2023-10-18,2023-10-18,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,102.48327576368627,0,0,0,0,0,0,0,0,1,0,HIGH,0
2690,1,0,0,0,0,0,8.0,0,0,0,0,1,0,Utilities,TX,1,2021-11-01,2021-11-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,102.48327576368627,0,0,0,0,0,0,1,0,0,0,HIGH,0
2700,1,0,0,0,0,0,10.0,0,0,0,0,1,0,Utilities,TX,1,2023-01-04,2023-01-04,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,102.48327576368627,0,0,0,0,0,0,1,0,0,0,HIGH,0
15,1,0,0,0,0,0,4.0,0,0,0,0,1,0,Unknown,South Carolina,1,2021-11-08,2021-11-08,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,102.48327576368627,0,0,0,0,0,0,1,0,0,0,HIGH,1
16,1,0,0,0,0,1,4.0,0,0,0,0,1,0,Unknown,FL,2,2022-02-08,2022-02-11,3,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3.0,0,0,0,0,0,0,1,0,0,0,HIGH,1
24,1,0,0,0,0,0,5.0,0,0,0,0,1,0,Unknown,CA,73,2023-09-03,2024-01-11,130,0.9863013698630136,0.9726027397260274,0.9315068493150684,0.9041095890410958,0.9178082191780822,0.0,0.9178082191780822,0.9178082191780822,37.0,1.7808219178082192,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1.8055555555555556,0,0,0,0,0,0,0,0,1,0,HIGH,1
42,1,0,0,0,0,0,7.0,0,0,0,0,1,0,Unknown,FL,2,2022-10-05,2023-01-13,100,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,50.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,0,0,0,0,0,0,0,0,1,0,HIGH,1
53,1,0,0,0,0,0,10.0,0,0,1,0,1,0,Unknown,PA,4,2023-03-20,2024-02-13,330,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.5,82.5,1,0,0,0,0,0,0,0,0,1,0,0,1,0,110.0,0,0,0,0,0,0,1,0,0,0,HIGH,1
54,1,0,0,0,0,1,10.0,0,0,0,0,1,0,Unknown,TX,2,2022-02-14,2023-09-22,585,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,292.5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,585.0,0,0,0,0,0,0,0,0,1,0,MEDIUM,1
57,1,0,0,0,0,0,11.0,0,0,0,0,1,0,Unknown,IA,2,2022-08-30,2023-10-04,400,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,200.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,400.0,0,0,0,0,0,0,1,0,0,0,HIGH,1
59,1,0,0,0,0,0,12.0,0,0,0,0,1,0,Unknown,IL,2,2022-11-29,2023-11-09,345,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,172.5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,345.0,0,0,0,0,0,0,1,0,0,0,HIGH,1
61,1,0,0,0,0,0,12.0,0,0,1,0,1,0,Unknown,NM,2,2021-06-10,2022-04-25,319,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,159.5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,319.0,0,0,0,0,0,0,1,0,0,0,HIGH,1
63,1,0,0,0,0,1,13.0,0,0,0,0,1,0,Unknown,CA,14,2021-04-14,2024-01-17,1008,0.9285714285714286,0.8571428571428571,0.6428571428571429,0.5,0.5714285714285714,0.0,0.5714285714285714,0.5714285714285714,7.5,72.0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,77.53846153846153,0,0,0,0,0,0,0,0,1,0,HIGH,1
72,1,0,0,0,0,0,15.0,0,0,1,0,1,0,Unknown,OH,1,2023-09-21,2023-09-21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,102.48327576368627,0,0,0,0,0,0,1,0,0,0,HIGH,1
87,1,0,0,0,0,0,20.0,0,0,0,0,1,0,Unknown,CA,1,2023-02-15,2023-02-15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,102.48327576368627,0,0,0,0,0,0,1,0,0,0,HIGH,1
99,1,0,0,0,0,1,28.0,0,0,1,0,1,0,Unknown,NJ,4,2022-05-31,2022-06-09,9,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.25,1,0,0,0,0,0,0,0,0,1,0,0,1,0,3.0,0,0,0,0,0,0,0,0,1,0,HIGH,1
111,1,0,0,0,0,0,40.0,0,0,0,1,1,0,Unknown,CT,8,2022-08-11,2023-06-28,321,0.875,0.75,0.375,0.125,0.25,0.0,0.25,0.25,4.5,40.125,1,0,0,0,0,0,0,0,0,1,0,0,1,0,45.857142857142854,0,0,0,0,0,0,0,0,1,0,HIGH,1
142,1,0,0,0,0,0,1.0,0,0,0,0,1,0,Unknown,KS,1,2023-12-29,2023-12-29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,102.48327576368627,0,0,0,0,0,0,1,0,0,0,HIGH,1
155,1,0,0,0,0,0,1.0,0,0,0,0,1,0,Unknown,UT,3,2022-04-21,2023-08-21,487,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,2.0,162.33333333333334,1,0,0,0,0,0,0,0,0,1,0,0,1,0,243.5,0,0,0,0,0,0,0,0,1,0,HIGH,1
187,1,0,0,0,0,0,14585824013270.0,0,0,1,0,0,1,Unknown,ON,1,2023-07-06,2023-07-06,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,102.48327576368627,0,0,0,0,0,0,1,0,0,0,HIGH,1
204,1,0,0,0,0,0,8.0,0,0,1,0,1,0,Unknown,TX,3,2021-11-30,2022-01-27,58,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,2.0,19.333333333333332,1,0,0,0,0,0,0,0,0,1,0,0,0,0,29.0,0,0,0,0,0,0,1,0,0,0,HIGH,1
208,1,0,0,0,0,0,9.0,0,0,1,0,1,0,Unknown,TX,17,2021-11-12,2022-10-14,336,0.9411764705882353,0.8823529411764706,0.7058823529411765,0.5882352941176471,0.6470588235294118,0.0,0.6470588235294118,0.6470588235294118,9.0,19.764705882352942,1,0,0,0,0,0,0,0,0,1,0,0,1,1,21.0,0,0,0,0,0,0,0,0,0,1,HIGH,1
212,1,0,0,0,0,0,10.0,0,0,1,0,0,1,Unknown,ON,3,2023-02-09,2023-05-29,109,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,2.0,36.333333333333336,1,0,0,0,1,0,0,0,0,0,1,0,0,0,54.5,0,0,0,1,0,0,0,0,0,0,HIGH,1
222,1,0,0,0,0,0,11.0,0,0,1,0,1,0,Unknown,SC,4,2023-07-26,2023-09-21,57,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.5,14.25,1,0,0,0,0,0,0,0,0,1,0,0,1,0,19.0,0,0,0,0,0,0,0,0,1,0,HIGH,1
224,1,0,0,0,0,0,11.0,0,0,1,0,1,0,Unknown,OH,1,2023-04-07,2023-04-07,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,102.48327576368627,0,0,0,0,0,0,1,0,0,0,HIGH,1
225,1,0,0,0,0,1,12.0,0,0,1,0,1,0,Unknown,LA,54,2021-10-26,2023-04-11,532,0.9814814814814815,0.9629629629629629,0.9074074074074074,0.8703703703703703,0.8888888888888888,0.0,0.8888888888888888,0.8888888888888888,27.5,9.851851851851851,1,0,0,0,0,0,0,0,0,1,0,0,1,0,10.037735849056604,0,0,0,0,0,0,0,0,1,0,HIGH,1
290,1,0,0,0,0,0,1.0,0,0,1,0,1,0,Unknown,IL,2,2022-10-13,2022-10-16,3,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3.0,0,0,0,0,0,0,1,0,0,0,HIGH,1
331,1,0,0,0,0,0,11.0,0,0,0,0,0,1,Unknown,AB,1,2023-10-24,2023-10-24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,102.48327576368627,0,0,0,0,0,0,1,0,0,0,HIGH,0
